['4174001116907', '33', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Ак-Довуракская (по округу №7)', 'УИК №33', '1510', '1487', '0', '872', '48', '567', '48', '872', '0', '920', '0', '0', '29', '13', '35', '808', '35']
['4174001116909', '34', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Ак-Довуракская (по округу №7)', 'УИК №34', '1108', '1095', '0', '700', '12', '383', '12', '700', '0', '712', '0', '0', '22', '10', '27', '626', '27']
['4174001116911', '35', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Ак-Довуракская (по округу №7)', 'УИК №35', '1139', '1160', '0', '716', '15', '429', '15', '715', '11', '719', '0', '0', '210', '15', '4', '486', '4']
['4174001116913', '36', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Ак-Довуракская (по округу №7)', 'УИК №36', '1274', '1278', '0', '766', '11', '501', '11', '766', '0', '777', '0', '0', '25', '12', '29', '682', '29']
['4174001116915', '37', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Ак-Довуракская (по округу №7)', 'УИК №37', '1224', '1322', '0', '983', '11', '328', '11', '983', '24', '970', '0', '0', '24', '14', '40', '863', '29']
['4174001116917', '38', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Ак-Довуракская (по округу №7)', 'УИК №38', '1155', '1135', '0', '580', '7', '548', '7', '580', '21', '566', '0', '0', '236', '23', '38', '248', '21']
['4174002174574', '39', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Бай-Тайгинская (по округу №8)', 'УИК №39', '2127', '2171', '0', '1801', '63', '307', '63', '1801', '4', '1860', '0', '0', '32', '5', '7', '1694', '122']
['4174002174576', '40', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Бай-Тайгинская (по округу №8)', 'УИК №40', '310', '344', '0', '201', '108', '35', '108', '201', '4', '305', '0', '0', '22', '9', '6', '259', '9']
['4174002174578', '41', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Бай-Тайгинская (по округу №8)', 'УИК №41', '451', '463', '0', '374', '64', '25', '64', '374', '9', '429', '0', '0', '11', '6', '3', '400', '9']
['4174002174580', '42', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Бай-Тайгинская (по округу №8)', 'УИК №42', '517', '523', '59', '440', '12', '12', '71', '440', '0', '511', '0', '0', '16', '1', '3', '475', '16']
['4174002174582', '43', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Бай-Тайгинская (по округу №8)', 'УИК №43', '709', '721', '414', '265', '30', '12', '444', '265', '0', '709', '0', '0', '1', '0', '1', '697', '10']
['4174002174584', '44', 'Избирательная комиссия Республики Тыва', 'Единый округ', 'Бай-Тайгинская (по округу №8)', 'УИК №44', '1011', '1044', '282', '613', '64', '85', '346', '613', '6', '953', '0', '0', '39', '0', '3', '880', '31']
